Forty Fifty Sixty Seventy Eighty Ninety
ENSG00000163531 0 0 0 0 0 1
ENSG00000140521 0 0 0 0 0 1
ENSG00000218739 0 0 0 0 0 1
ENSG00000136738 0 0 0 0 0 1
ENSG00000165434 0 0 0 0 0 1
ENSG00000178093 0 0 0 0 0 1
ENSG00000224389 0 0 0 0 0 1
ENSG00000253965 0 0 0 0 0 1
ENSG00000105939 0 0 0 0 0 1
ENSG00000178449 0 0 0 0 0 1
ENSG00000103723 0 0 0 0 0 1
ENSG00000204252 0 0 0 0 0 1
ENSG00000243175 0 0 0 0 0 1
ENSG00000174951 0 0 0 0 0 1
ENSG00000213699 0 0 0 0 0 1
ENSG00000248383 0 0 0 0 0 1
ENSG00000166888 0 0 0 0 0 1
ENSG00000145075 0 0 0 0 0 1
ENSG00000248487 0 0 0 0 0 1
ENSG00000086827 0 0 0 0 0 1
ENSG00000167535 0 0 0 0 0 1
ENSG00000174791 0 0 0 0 0 1
ENSG00000101445 0 0 0 0 0 1
ENSG00000105784 0 0 0 0 0 1
ENSG00000260528 0 0 0 0 0 1
ENSG00000204356 0 0 0 0 0 1
ENSG00000167526 0 0 0 0 0 1
ENSG00000248971 0 0 0 0 0 1
ENSG00000100426 0 0 0 0 0 1
ENSG00000168917 0 0 0 0 0 1
ENSG00000150977 0 0 0 0 0 1
ENSG00000204469 0 0 0 0 0 1
ENSG00000157388 0 0 0 0 0 1
ENSG00000118557 0 0 0 0 0 1
ENSG00000179344 0 0 0 0 0 1
ENSG00000109332 0 0 0 0 0 1
ENSG00000154079 0 0 0 0 0 1
ENSG00000180667 0 0 0 0 0 1
ENSG00000235513 0 0 0 0 0 1
ENSG00000115073 0 0 0 0 0 1
ENSG00000176909 0 0 0 0 0 1
ENSG00000143614 0 0 0 0 0 1
ENSG00000119383 0 0 0 0 0 1
ENSG00000172878 0 0 0 0 0 1
ENSG00000114378 0 0 0 0 0 1
ENSG00000234608 0 0 0 0 0 1
ENSG00000188013 0 0 0 0 0 1
ENSG00000204653 0 0 0 0 0 1
